# Optical Illusion URLs
# Add one URL per line in the format: URL|Description
# If no description is needed, just add the URL without the pipe symbol
https://optical-illusion.ru/files/images/piza_tower_0.jpg|Иллюзия с Пизанскими башнями, занявшая первое место на конкурсе "Лучшая визуальная иллюзия 2007 года". Из-за особенностей зрительного восприятия нам кажется, что башня на правой картинке наклонена сильнее, хотя обе картинки абсолютно идентичны друг другу.
https://optical-illusion.ru/files/images/ham_0.jpg|Два цилиндра имеют совершенно одинаковы размеры. Однако левый цилиндр кажется большим по размерам, чем правый.
https://optical-illusion.ru/files/images/table_shepard_0.jpg|Столешницы обоих столов абсолютно идентичны, хотя визуально кажется, что это не так. Эффект еще более усиливается, когда на поверхности стола достраивается дополнительное изображение
https://optical-illusion.ru/files/images/CafeWall_0.jpg|Классическая иллюзия кафе "Wall". Иллюзия обнаружена Р. Грегори в кафе "Wall" в Бристоле (Richard Gregory, 1979). Все горизонтальные линии параллельны.
https://optical-illusion.ru/files/images/Dzhastrou_0.jpg|Фигуры кажутся разными по размеру. Иллюзия была обнаружена американским психологом Джозефом Ястровым (Joseph Jastrow) в 1889 году.
https://optical-illusion.ru/files/images/Wundt_0.jpg|Иллюзия Вундта — классическая оптическая иллюзия, впервые описанная немецким психологом В.Вундтом в 19 веке. Суть иллюзии: на рисунке две красные горизонтальные линии являются прямыми, но для некоторых наблюдателей они могут выглядеть искривлёнными внутрь. Искажение создаётся за счёт пересечения этих прямых косыми линиями, как в иллюзии Орбисона. Иллюзия Херинга производит аналогичный, но инвертированный эффект.
https://optical-illusion.ru/files/images/monspiral_0.png|Эффектная иллюзия смешения цветов. Казалось бы четко различимы спирали зеленого и голубого цвета.
https://optical-illusion.ru/files/images/ebinhause_00_0.jpg|Иллюзия Эббингауза-Титченера (иллюзия контраста). Иллюзия, при которой один и тот же предмет воспринимается как более крупный среди маленьких фоновых предметов и меньше среди больших фоновых предметов. Розовые круги имеют одинаковый размер.
https://optical-illusion.ru/files/images/Stena_0.jpg|Искажение перспективы. Какая из желтых линий в углах стены больше? Левая кажется значительно меньше, чем правая. На самом деле желтые линии имеют совершенно одинаковую высоту.
https://optical-illusion.ru/files/images/Same_color_illusion_1_0.png|Иллюзия восприятия цвета, опубликованная профессором Массачусетского технологического института Эдвардом Эдельсоном (Edward H. Adelson) в 1995 году.
https://optical-illusion.ru/files/images/sizeLarge_0.png|На рисунке два шара имеют совершенно одинаковый диаметр (одинаковые размеры). Однако, ближний шар кажется существенно меньше дальнего. Искажение размеров за счет иллюзии перспективы. Воспринимаемый размер объекта зависит не только от его прогнозируемого размера на сетчатке, но и от предполагаемого расстояния до наблюдателя. Один из самых интересных примеров этого явления - иллюзия луны: луна выглядит гораздо больше, когда она находится вблизи горизонта по сравнению с тем, когда она высоко в небе.
https://optical-illusion.ru/files/images/green_street.jpg|Глядя на эту фигуру, создается впечатление, что некоторые зеленые «улицы» изогнуты. Однако при непосредственном взгляде они совершенно прямые.
https://optical-illusion.ru/files/images/fantom4_0.jpgИллюзия из книги Якова Перельмана "Занимательные задачи и опыты" 1959 года выпуска из раздела "Обманы зрения". Высота цилиндра кажется больше его ширины.
https://optical-illusion.ru/files/images/seal_0.jpg|Красная и розовая диагональ кажутся ломаными. На самом деле диагонали прямые линии.
https://optical-illusion.ru/files/images/Muller_Layer_0.jpg|Иллюзия Мюллера-Лайера — оптическая иллюзия, возникающая при наблюдении отрезков, обрамленных стрелками. На глаз сложно оценить истинные размеры отрезков. Иллюзия была впервые описана немецким психиатром Францем Мюллером-Лайером в 1889 году.
https://optical-illusion.ru/files/images/i_quadres_0.jpg|Все фигуры являются правильными квадратами и стороны любых двух квадратов параллельны.
https://optical-illusion.ru/files/images/bluerosep_0.jpg|Концентрические круги выглядят деформированными. Иллюзия Akiyoshi Kitaoka. Акиоши Китаока - профессор психологии в университете (Ritsumeikan) в Токио. Всемирноизвестный своими многочисленными иллюзиями движения.
https://optical-illusion.ru/files/images/lines_01_0.jpg|В это трудно поверить, но голубые линии параллельны
https://optical-illusion.ru/files/images/Perelman_shadow_0.jpg|Эффектная иллюзия с линиями на сетчатом фоне: мозг отказывается верить, что буквы ровные, стоят чётко вертикально, а не наклонены (см. подсказку). Рисунок из книги Якова Перельмана "Занимательная физика. Книга 1. Глава 9. Зрение одним и двумя глазами".


